testing_type,testing_cat,prob_inf,prob_inf_cat,sens_type,sens_cat,prop_subclin,prop_subclin_cat,symptom_adherence,risk_multiplier,risk_multi_cat,rapid_test_multiplier,rapid_test_cat,if_threshold,time_step,metric,n,mean,sd,median,p025,p100,p250,p750,p900,p975,min,max,n_missing,n_infinite,n_nan,n_total,quarantine_adherence,relative_time,metric_cat,quarantine_adherence_cat
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,77,cume_n_infection_daily,3000,3694.7227333333335,681.8707754905017,3572.1,2889.4975000000004,3000.1900000000005,3133.5249999999996,4080.325,4649.49,5332.0575,2104,6468.8,0,0,0,3000,0,7,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,78,cume_n_infection_daily,3000,4300.461533333333,755.4654005384931,4100.75,3442.91,3569.9500000000003,3703.475,4744.675,5368.09,6097.737500000003,2524.8,7297.3,0,0,0,3000,0,8,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,79,cume_n_infection_daily,3000,4825.3812,866.0322248843127,4698.6,3901.7475,4013.8199999999997,4118.0999999999995,5347.325,6069.839999999999,6848.8275,2841.6,8235.8,0,0,0,3000,0,9,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,80,cume_n_infection_daily,3000,5214.716433333333,1000.501753661451,5088.799999999999,4102.295,4221.29,4383.65,5847.2249999999995,6682.92,7541.442500000002,2950.9,9220.2,0,0,0,3000,0,10,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,81,cume_n_infection_daily,3000,5464.5498333333335,1133.6976593876072,5251.35,4126.3425,4296.52,4509.95,6167.375000000001,7102.82,8154.222500000002,2950.9,10059.6,0,0,0,3000,0,11,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,82,cume_n_infection_daily,3000,5599.1685333333335,1247.9046096937113,5341.450000000001,4126.3425,4296.52,4513.575000000001,6373.324999999999,7369.67,8631.1725,2950.9,10770.5,0,0,0,3000,0,12,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,83,cume_n_infection_daily,3000,5655.8976,1323.0211955881755,5388.0999999999995,4126.3425,4296.52,4513.575000000001,6483.475,7535.409999999998,8918.05,2950.9,11355.900000000001,0,0,0,3000,0,13,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,84,cume_n_infection_daily,3000,5673.740966666666,1358.804616266369,5388.0999999999995,4126.3425,4296.52,4513.575000000001,6490.725,7601.610000000001,9080.737500000001,2950.9,11702.7,0,0,0,3000,0,14,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,67,cume_n_infection_daily,3000,553.2838333333333,104.40521141860054,549.25,429.5,449.00000000000006,467,604.5,707,808.6125000000005,316,978.5000000000001,0,0,0,3000,0.2,-3,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,68,cume_n_infection_daily,3000,1106.2366666666667,207.75977120157825,1102.5,864.5,899.5,934.5,1205,1414.5000000000002,1621.0875000000005,629,1950.5,0,0,0,3000,0.2,-2,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,69,cume_n_infection_daily,3000,1658.6180000000002,310.8050484929788,1655.2500000000002,1302.5,1349.9499999999998,1403,1803.125,2122.1,2433.1125,946.5,2905.5,0,0,0,3000,0.2,-1,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,70,cume_n_infection_daily,3000,1728.5982666666666,325.38640620259895,1728.3000000000002,1357.4975,1406.08,1461.3500000000001,1878.9750000000004,2212.6,2549.6450000000004,985,3032.6,0,0,0,3000,0.2,0,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,71,cume_n_infection_daily,3000,1798.4362666666668,339.22361765820676,1797.67,1415.04,1464.878,1519.1399999999999,1954.785,2297.5060000000003,2650.1360000000004,1027.4,3151,0,0,0,3000,0.2,1,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,72,cume_n_infection_daily,3000,1887.8733333333334,356.9206834582659,1886.5500000000002,1489.0765000000004,1538.1080000000002,1592.035,2051.0299999999997,2411.214,2782.9735,1080.92,3300.5400000000004,0,0,0,3000,0.2,2,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,73,cume_n_infection_daily,3000,2000.2946933333335,388.3037246186163,1995.7400000000002,1576.1540000000002,1625.9,1681.055,2174.02,2569.3479999999995,2958.6590000000006,1136.44,3544.28,0,0,0,3000,0.2,3,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,74,cume_n_infection_daily,3000,2173.56104,439.49881207308886,2131.9300000000003,1686.6985000000002,1745.9440000000002,1809.7650000000003,2390.355,2814.8,3217.3360000000002,1203.48,3974.64,0,0,0,3000,0.2,4,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,75,cume_n_infection_daily,3000,2460.4014133333335,494.30320183565897,2380.54,1887.5345000000002,1963.644,2047.905,2726.71,3172.788,3640.895000000001,1339,4484.8,0,0,0,3000,0.2,5,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,76,cume_n_infection_daily,3000,2844.5020533333336,550.2164914422948,2745.2500000000005,2193.2334999999994,2285.456,2391.045,3154.3600000000006,3634.3419999999996,4159.0599999999995,1594.44,5058.04,0,0,0,3000,0.2,6,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,77,cume_n_infection_daily,3000,3301.49784,606.2350837606331,3191.8200000000006,2593.8930000000005,2684.5,2799.135,3642.255,4164.69,4731.8155000000015,1880.52,5745.320000000001,0,0,0,3000,0.2,7,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,78,cume_n_infection_daily,3000,3786.0888800000002,665.849873975135,3629.5300000000007,3039.6005000000005,3143.0240000000003,3257.2650000000003,4174.245000000001,4736.992,5362.268499999999,2217.1600000000003,6408.12,0,0,0,3000,0.2,8,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,79,cume_n_infection_daily,3000,4206.024613333334,755.2120660821276,4118.32,3402.7690000000002,3497.5900000000006,3585.6900000000005,4648.725,5301.89,5943.356500000002,2470.6000000000004,7195.16,0,0,0,3000,0.2,9,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,80,cume_n_infection_daily,3000,4517.4928,862.7100690168672,4421.469999999999,3563.1595,3665.204,3800.620000000001,5049.840000000001,5777.896,6508.8775,2557.7200000000003,7982.68,0,0,0,3000,0.2,10,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,81,cume_n_infection_daily,3000,4717.35952,968.6735283971111,4548.110000000001,3585.8635000000004,3723.6639999999998,3900.42,5309.800000000001,6119.128000000001,7025.375500000001,2557.7200000000003,8654.2,0,0,0,3000,0.2,11,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,82,cume_n_infection_daily,3000,4825.05448,1059.4024757741925,4614.51,3585.8635000000004,3723.6639999999998,3904.3399999999997,5482.26,6333.384000000001,7413.7654999999995,2557.7200000000003,9222.92,0,0,0,3000,0.2,12,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,83,cume_n_infection_daily,3000,4870.437733333333,1119.0744326945814,4641.37,3585.8635000000004,3723.6639999999998,3904.3399999999997,5568.0199999999995,6475.526000000001,7644.0595,2557.7200000000003,9691.240000000002,0,0,0,3000,0.2,13,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,84,cume_n_infection_daily,3000,4884.712426666667,1147.5132206360367,4641.37,3585.8635000000004,3723.6639999999998,3904.3399999999997,5571.175000000001,6519.280000000001,7768.581499999999,2557.7200000000003,9968.680000000002,0,0,0,3000,0.2,14,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,67,cume_n_infection_daily,3000,553.2838333333333,104.40521141860053,549.25,429.5,449,467,604.5,707,808.6125000000004,316,978.5,0,0,0,3000,0.4,-3,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,68,cume_n_infection_daily,3000,1106.2366666666667,207.75977120157825,1102.5,864.5,899.5,934.5,1205,1414.5,1621.0875000000003,629,1950.5,0,0,0,3000,0.4,-2,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,69,cume_n_infection_daily,3000,1658.618,310.8050484929788,1655.25,1302.5,1349.9499999999998,1403,1803.125,2122.1,2433.1125,946.5,2905.5,0,0,0,3000,0.4,-1,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,70,cume_n_infection_daily,3000,1728.5982666666666,325.38640620259895,1728.3000000000002,1357.4975,1406.08,1461.3500000000001,1878.9750000000001,2212.6,2549.6450000000004,985,3032.6,0,0,0,3000,0.4,0,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,71,cume_n_infection_daily,3000,1780.9767666666667,335.73838394136993,1780.38,1400.724,1450.442,1504.8700000000001,1934.51,2277.114,2627.0835,1016.8,3121.3999999999996,0,0,0,3000,0.4,1,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,72,cume_n_infection_daily,3000,1848.0545666666667,348.9095013789819,1847.79,1456.1384999999998,1505.2780000000002,1559.185,2008.39,2359.108,2721.2525,1056.94,3231.98,0,0,0,3000,0.4,2,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,73,cume_n_infection_daily,3000,1932.3705866666667,372.1865831458021,1931.5500000000002,1521.8540000000003,1571.036,1626.7,2099.2,2479.8419999999996,2859.6340000000005,1098.58,3416.3599999999997,0,0,0,3000,0.4,3,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,74,cume_n_infection_daily,3000,2062.320346666667,409.6531832561911,2039.25,1607.2205,1663.9579999999999,1724.03,2257.4500000000003,2667.11,3055.9365000000007,1148.86,3722.1799999999994,0,0,0,3000,0.4,4,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,75,cume_n_infection_daily,3000,2277.4506266666667,449.42321462925105,2218.2699999999995,1762.371,1828.3760000000002,1903.955,2511.875,2935.16,3341.984000000001,1250.8999999999999,4104.8,0,0,0,3000,0.4,5,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,76,cume_n_infection_daily,3000,2565.5261066666667,490.4052267799828,2489.9900000000002,1998.0725,2070.576,2160.4700000000003,2833.4400000000005,3281.472,3716.4810000000007,1442.48,4534.639999999999,0,0,0,3000,0.4,6,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,77,cume_n_infection_daily,3000,2908.2729466666665,531.8838631005137,2819.76,2295.7445,2373.1959999999995,2466.35,3202.33,3676.8179999999993,4141.8305,1657.04,5021.84,0,0,0,3000,0.4,7,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,78,cume_n_infection_daily,3000,3271.7162266666664,577.2217342553272,3164.25,2631.9719999999998,2715.126,2807.8549999999996,3595.1499999999996,4106.692,4616.418000000001,1909.5200000000002,5540.9,0,0,0,3000,0.4,8,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,79,cume_n_infection_daily,3000,3586.6680266666667,645.0569275229547,3539.0199999999995,2897.7479999999996,2978.888,3053.38,3949.745,4529.219999999999,5066.338500000001,2099.6,6154.5199999999995,0,0,0,3000,0.4,9,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,80,cume_n_infection_daily,3000,3820.2691666666665,725.5262715167471,3759.31,3020.158499999999,3107.112,3216.135,4256.665,4889.870000000001,5499.9945,2164.54,6745.16,0,0,0,3000,0.4,10,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,81,cume_n_infection_daily,3000,3970.1692066666665,804.3121337637173,3858.13,3042.757,3151.4480000000003,3293.8450000000003,4450.865,5143.913999999999,5889.485500000002,2164.54,7248.8,0,0,0,3000,0.4,11,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,82,cume_n_infection_daily,3000,4050.9404266666666,871.6240536561554,3889.8199999999997,3042.757,3151.4480000000003,3300.0299999999997,4572.48,5303.442,6201.7595,2164.54,7675.34,0,0,0,3000,0.4,12,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,83,cume_n_infection_daily,3000,4084.9778666666666,915.886433906985,3907.06,3042.757,3151.4480000000003,3300.0299999999997,4649.6,5413.864,6359.2385,2164.54,8026.580000000001,0,0,0,3000,0.4,13,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,84,cume_n_infection_daily,3000,4095.6838866666667,936.993878061005,3907.06,3042.757,3151.4480000000003,3300.0299999999997,4664.04,5434.857999999999,6464.096000000001,2164.54,8234.66,0,0,0,3000,0.4,14,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,67,cume_n_infection_daily,3000,553.2838333333333,104.40521141860053,549.25,429.5,449,467,604.5,707,808.6125000000004,316,978.5,0,0,0,3000,0.6000000000000001,-3,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,68,cume_n_infection_daily,3000,1106.2366666666667,207.75977120157825,1102.5,864.5,899.5,934.5,1205,1414.5,1621.0875000000003,629,1950.5,0,0,0,3000,0.6000000000000001,-2,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,69,cume_n_infection_daily,3000,1658.618,310.8050484929788,1655.25,1302.5,1349.9499999999998,1403,1803.125,2122.1,2433.1125,946.5,2905.5,0,0,0,3000,0.6000000000000001,-1,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,70,cume_n_infection_daily,3000,1728.5982666666666,325.38640620259895,1728.3,1357.4975,1406.08,1461.3500000000001,1878.9750000000001,2212.6,2549.6450000000004,985,3032.6,0,0,0,3000,0.6000000000000001,0,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,71,cume_n_infection_daily,3000,1763.5172666666667,332.27007705143035,1763.81,1385.979,1435.8780000000002,1490.44,1915.355,2255.7059999999997,2604.0429999999997,1006.2,3091.8,0,0,0,3000,0.6000000000000001,1,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,72,cume_n_infection_daily,3000,1808.2358,340.9794499479242,1808.3600000000001,1423.3759999999997,1472.714,1526.46,1964.6000000000001,2308.9899999999993,2663.9759999999997,1032.96,3163.42,0,0,0,3000,0.6000000000000001,2,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,73,cume_n_infection_daily,3000,1864.44648,356.30506289633064,1865.8399999999997,1467.3769999999997,1516.2779999999998,1570.8,2024.985,2389.93,2754.9585,1060.72,3288.4399999999996,0,0,0,3000,0.6000000000000001,3,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,74,cume_n_infection_daily,3000,1951.0796533333332,380.5532245551463,1942.52,1525.4560000000001,1580.614,1636.1499999999996,2126.63,2511.634,2896.7475000000004,1094.24,3469.7199999999993,0,0,0,3000,0.6000000000000001,4,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,75,cume_n_infection_daily,3000,2094.49984,405.9390664635948,2069.23,1634.0735,1691.9759999999999,1760.21,2291.415,2697.54,3074.9375000000005,1162.8,3724.7999999999997,0,0,0,3000,0.6000000000000001,5,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,76,cume_n_infection_daily,3000,2286.55016,432.3655942604682,2245.1099999999997,1794.4165,1856.8319999999999,1928.6950000000002,2504.535,2924.62,3316.2255,1290.52,4011.3599999999997,0,0,0,3000,0.6000000000000001,6,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,77,cume_n_infection_daily,3000,2515.048053333333,459.4411339893403,2457.6899999999996,1992.3665,2057.8,2133.3899999999994,2752.5199999999995,3191.7039999999997,3601.1074999999996,1433.56,4329.12,0,0,0,3000,0.6000000000000001,7,Cumulative infectious days,60%
