testing_type,testing_cat,prob_inf,prob_inf_cat,sens_type,symptom_screening,symptom_cat,risk_multiplier,risk_multi_cat,rapid_test_multiplier,rapid_test_cat,if_threshold,time_step,metric,n,mean,sd,median,p025,p100,p250,p750,p900,p975,min,max,n_missing,n_infinite,n_nan,n_total,relative_time,metric_cat
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,78,cume_n_infection_daily,1000,2193.6495,415.58883885726857,2143.5,1709.4624999999999,1785.5,1845.375,2407.5,2810.2000000000003,3156.3999999999996,1259.5,3770.5,0,0,0,1000,8,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,79,cume_n_infection_daily,1000,2347.171,451.0036302886414,2278,1808.9875,1898.45,1977,2587.5,3014,3394.6749999999997,1290.5,4079.5,0,0,0,1000,9,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,80,cume_n_infection_daily,1000,2466.7065,488.0661329757556,2372.25,1851.9875,1966.5,2075.75,2742.625,3175.6000000000004,3625.0499999999993,1290.5,4342,0,0,0,1000,10,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,81,cume_n_infection_daily,1000,2547.9095,526.2523078821615,2450.25,1865.9625,1991.95,2127.5,2862.625,3323.5,3792.2749999999996,1290.5,4574.5,0,0,0,1000,11,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,82,cume_n_infection_daily,1000,2594.0315,561.653585413427,2472,1865.9625,1991.95,2148.625,2937,3417.1000000000004,3922.1124999999997,1290.5,4777,0,0,0,1000,12,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,83,cume_n_infection_daily,1000,2614.52,586.4793138599056,2477.75,1865.9625,1991.95,2148.625,2980,3474.7000000000003,3975.6249999999995,1290.5,4934,0,0,0,1000,13,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,1,1x,NA,NA,0,84,cume_n_infection_daily,1000,2621.0715,598.4750078096183,2477.75,1865.9625,1991.95,2148.625,2992.625,3497.9,3976.3374999999987,1290.5,5060,0,0,0,1000,14,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,67,cume_n_infection_daily,3000,183.54066666666668,36.32857830169929,176.5,135,145,155,205.5,236,265.01250000000005,68,332,0,0,0,3000,-3,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,68,cume_n_infection_daily,3000,366.9175,72.3279663891545,351,271.5,290,309.5,410,471.54999999999995,532.5375000000001,147.5,668.5,0,0,0,3000,-2,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,69,cume_n_infection_daily,3000,550.2201666666666,107.85393255182919,526.5,411.9875,437,464.375,612.5,708,796.5250000000001,235.5,1007,0,0,0,3000,-1,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,70,cume_n_infection_daily,3000,733.4413333333333,143.07295988005038,702.5,555.9749999999999,584.5,620,814.5,945.5,1068.525,306,1330.5,0,0,0,3000,0,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,71,cume_n_infection_daily,3000,916.5276666666666,178.06575434984578,875.25,700.9875,734.5,772.5,1016.5,1181.5,1340.5125,378.5,1648,0,0,0,3000,1,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,72,cume_n_infection_daily,3000,1099.7145,212.6634449547532,1048.5,843.5,885,927.875,1214.5,1415.55,1610.025,462.5,1951.5,0,0,0,3000,2,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,73,cume_n_infection_daily,3000,1282.7786666666666,247.15193108133838,1222.75,990.4875000000001,1035.5,1082,1414.625,1651,1875.5500000000002,534.5,2245.5,0,0,0,3000,3,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,74,cume_n_infection_daily,3000,1471.9146666666666,281.95731685439813,1404.75,1138.5,1189.5,1244.5,1619.625,1888.55,2141.5125,611.5,2550,0,0,0,3000,4,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,75,cume_n_infection_daily,3000,1678.0076666666666,317.34651809245366,1604,1303.475,1359,1422.5,1846.5,2151.5,2438.0375000000004,744,2902.5,0,0,0,3000,5,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,76,cume_n_infection_daily,3000,1896.086,352.17551135894394,1809.25,1480.4875000000002,1544.5,1613,2082.625,2422.5,2748.5625000000005,870,3268,0,0,0,3000,6,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,77,cume_n_infection_daily,3000,2117.6068333333333,386.2349107802237,2032,1668.4875,1734.9,1806.5,2317.75,2692.5499999999997,3049.55,947.5,3626.5,0,0,0,3000,7,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,78,cume_n_infection_daily,3000,2329.605,422.39169644230435,2237.75,1846.9875,1913,1984.375,2546,2955.75,3355.1000000000004,1022,3987.5,0,0,0,3000,8,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,79,cume_n_infection_daily,3000,2508.4518333333335,465.18955513214206,2420.25,1967,2049.9,2133.375,2748.5,3193.05,3652.0625,1055.5,4313.5,0,0,0,3000,9,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,80,cume_n_infection_daily,3000,2640.230666666667,512.3533130877879,2519.5,2026.45,2122.95,2231,2913.125,3402.5999999999995,3896.2625000000007,1055.5,4605.5,0,0,0,3000,10,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,81,cume_n_infection_daily,3000,2724.853833333333,556.9732659278106,2577.25,2031.4875,2151.4,2283.375,3035,3549.65,4079.5375,1055.5,4859.5,0,0,0,3000,11,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,82,cume_n_infection_daily,3000,2770.7066666666665,594.3706508673072,2617.5,2031.4875,2152.9500000000003,2294.5,3113.125,3658.5,4216.0375,1055.5,5065,0,0,0,3000,12,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,83,cume_n_infection_daily,3000,2790.014166666667,618.7107061154884,2636,2031.4875,2152.9500000000003,2294.5,3148,3716.5499999999997,4292.7125000000015,1055.5,5244.5,0,0,0,3000,13,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,2,2x,NA,NA,0,84,cume_n_infection_daily,3000,2795.995,630.0930687076403,2636,2031.4875,2152.9500000000003,2294.5,3155.125,3734.5,4335.6125,1055.5,5368,0,0,0,3000,14,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,67,cume_n_infection_daily,1000,183.4705,36.13881422575516,176.5,135,143.5,155,207,235.5,262.525,107,320.5,0,0,0,1000,-3,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,68,cume_n_infection_daily,1000,366.8465,71.82459509256012,352.25,270.97499999999997,288.45,309.5,412,470.5,522.525,213.5,628,0,0,0,1000,-2,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,69,cume_n_infection_daily,1000,550.757,106.69987729521911,531.5,409.48749999999995,435.95,465.5,614.5,705,789.5250000000001,316.5,934,0,0,0,1000,-1,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,70,cume_n_infection_daily,1000,734.9385,141.77131964831543,709.25,551.5,583.95,622.875,816.125,943.5999999999999,1060.125,432.5,1236,0,0,0,1000,0,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,71,cume_n_infection_daily,1000,918.543,176.74894721423757,887.25,693.4,734.45,774,1018.625,1177.75,1341.2124999999996,543,1543,0,0,0,1000,1,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,72,cume_n_infection_daily,1000,1102.1075,211.27562586307448,1066.25,836.9875,886,929,1215.625,1416.15,1618.0375,649.5,1876,0,0,0,1000,2,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,73,cume_n_infection_daily,1000,1285.4315,245.7489778572189,1243.75,983.9875000000001,1034.9,1080.875,1418.5,1651.05,1878.2624999999998,757.5,2208,0,0,0,1000,3,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,74,cume_n_infection_daily,1000,1488.559,283.5118003892606,1445,1136.8125,1190.4,1255,1645.5,1899.6,2178.6,873.5,2523,0,0,0,1000,4,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,75,cume_n_infection_daily,1000,1738.816,325.3696129466134,1678.25,1306.95,1377.35,1472.375,1926.625,2224.6,2521.1624999999995,1013,2908.5,0,0,0,1000,5,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,76,cume_n_infection_daily,1000,2023.9455,364.1714728550156,1947.5,1502.5,1623.35,1740.125,2231.125,2562.2500000000005,2891.2125,1126,3319.5,0,0,0,1000,6,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,77,cume_n_infection_daily,1000,2322.034,397.60764540396315,2240.25,1769.9625,1891.5,2014.875,2545.5,2908.1,3281.6875,1340.5,3727.5,0,0,0,1000,7,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,78,cume_n_infection_daily,1000,2603.652,435.7988653576866,2489.25,2033.4875,2148.75,2254.875,2846.625,3245.25,3665.2625,1551.5,4162,0,0,0,1000,8,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,79,cume_n_infection_daily,1000,2834.291,491.102451059284,2768.5,2249.825,2327.35,2426.875,3097,3561.2000000000003,3997.8999999999996,1611.5,4600,0,0,0,1000,9,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,80,cume_n_infection_daily,1000,2995.742,558.0450507931369,2939.5,2315,2425,2538,3288.875,3814.1,4303.55,1611.5,4991.5,0,0,0,1000,10,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,81,cume_n_infection_daily,1000,3092.061,615.9743429479593,2984.75,2322.475,2452.85,2594.875,3435,3985.4500000000003,4541.4124999999995,1611.5,5353,0,0,0,1000,11,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,82,cume_n_infection_daily,1000,3142.515,659.1997144557471,2994.75,2322.475,2454,2612.375,3507.5,4115.2,4689.499999999998,1611.5,5684.5,0,0,0,1000,12,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,83,cume_n_infection_daily,1000,3163.5375,685.0811576275371,2997.75,2322.475,2454,2612.375,3542.375,4175.55,4815.0999999999995,1611.5,5970.5,0,0,0,1000,13,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,4,4x,NA,NA,0,84,cume_n_infection_daily,1000,3170.1335,696.9475703692449,2997.75,2322.475,2454,2612.375,3563.75,4192.5,4837.75,1611.5,6093,0,0,0,1000,14,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,67,cume_n_infection_daily,1000,183.4705,36.13881422575516,176.5,135,143.5,155,207,235.5,262.525,107,320.5,0,0,0,1000,-3,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,68,cume_n_infection_daily,1000,366.8465,71.82459509256012,352.25,270.97499999999997,288.45,309.5,412,470.5,522.525,213.5,628,0,0,0,1000,-2,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,69,cume_n_infection_daily,1000,550.757,106.69987729521911,531.5,409.48749999999995,435.95,465.5,614.5,705,789.5250000000001,316.5,934,0,0,0,1000,-1,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,70,cume_n_infection_daily,1000,734.9385,141.77131964831543,709.25,551.5,583.95,622.875,816.125,943.5999999999999,1060.125,432.5,1236,0,0,0,1000,0,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,71,cume_n_infection_daily,1000,918.543,176.74894721423757,887.25,693.4,734.45,774,1018.625,1177.75,1341.2124999999996,543,1543,0,0,0,1000,1,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,72,cume_n_infection_daily,1000,1102.1075,211.27562586307448,1066.25,836.9875,886,929,1215.625,1416.15,1618.0375,649.5,1876,0,0,0,1000,2,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,73,cume_n_infection_daily,1000,1285.4315,245.7489778572189,1243.75,983.9875000000001,1034.9,1080.875,1418.5,1651.05,1878.2624999999998,757.5,2208,0,0,0,1000,3,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,74,cume_n_infection_daily,1000,1528.7495,309.28611575877625,1521.75,1138.5,1190.5,1257.25,1716.75,1933.75,2257.85,873.5,2731.5,0,0,0,1000,4,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,75,cume_n_infection_daily,1000,1911.8105,403.87119949995883,1832.5,1312.425,1383.25,1657.75,2134,2466.1000000000004,2813.725,1013,3369.5,0,0,0,1000,5,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,76,cume_n_infection_daily,1000,2400.841,470.13475877710897,2326.25,1513,1843.9499999999998,2083.375,2675.125,3031.7000000000003,3407.025,1126,4006,0,0,0,1000,6,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,77,cume_n_infection_daily,1000,2929.9895,497.3700394031046,2856.25,2011.4624999999999,2343.6499999999996,2584.5,3225.625,3605.15,4003.5125,1579.5,4633.5,0,0,0,1000,7,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,78,cume_n_infection_daily,1000,3422.715,524.7702665048846,3311.5,2515.5,2833.9500000000003,3069.5,3773.25,4159.05,4558.1875,2028.5,5232,0,0,0,1000,8,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,79,cume_n_infection_daily,1000,3807.277,593.2475831943742,3582.25,3002.8125,3203.95,3343.625,4197.625,4679.75,5139.55,2303,5791,0,0,0,1000,9,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,80,cume_n_infection_daily,1000,4052.007,702.9319763066085,4004.5,3214.2875,3342.4500000000003,3461.125,4450.25,5122.1,5610.562499999999,2303,6299.5,0,0,0,1000,10,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,81,cume_n_infection_daily,1000,4178.0965,794.2141414884844,4120.25,3228.45,3380.85,3515.5,4616.875,5351.45,5995.7249999999985,2303,6683,0,0,0,1000,11,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,82,cume_n_infection_daily,1000,4236.5005,851.06535941474306,4134,3228.45,3381.95,3537.875,4692,5497.049999999999,6212.3375,2303,7236,0,0,0,1000,12,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,83,cume_n_infection_daily,1000,4258.2825,878.5210806992528,4134,3228.45,3381.95,3540.5,4722.875,5557,6301.8375,2303,7743.5,0,0,0,1000,13,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,FALSE,No symptom screening,10,10x,NA,NA,0,84,cume_n_infection_daily,1000,4264.842,889.9827727949973,4134,3228.45,3381.95,3540.5,4744.375,5581.15,6351.8499999999995,2303,7865.5,0,0,0,1000,14,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,67,cume_n_infection_daily,1000,183.4705,36.13881422575516,176.5,135,143.5,155,207,235.5,262.525,107,320.5,0,0,0,1000,-3,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,68,cume_n_infection_daily,1000,366.8465,71.82459509256012,352.25,270.97499999999997,288.45,309.5,412,470.5,522.525,213.5,628,0,0,0,1000,-2,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,69,cume_n_infection_daily,1000,550.757,106.69987729521911,531.5,409.48749999999995,435.95,465.5,614.5,705,789.5250000000001,316.5,934,0,0,0,1000,-1,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,70,cume_n_infection_daily,1000,665.1665,128.15676019209027,636.25,501.475,529.95,563.5,745.5,846.8500000000001,969.6999999999998,378,1102.5,0,0,0,1000,0,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,71,cume_n_infection_daily,1000,808.483,151.2843205909213,772,616,654,686.5,903.125,1019.1500000000001,1170.05,453,1334,0,0,0,1000,1,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,72,cume_n_infection_daily,1000,980.9395,175.3641273662231,934.5,760.9625,802.45,842.5,1095.875,1224.1,1404.1625,559.5,1606,0,0,0,1000,2,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,73,cume_n_infection_daily,1000,1162.0255,206.56189124488733,1113.5,907.4875,949.5,994.5,1292,1448.3000000000002,1655.5375,667.5,1899,0,0,0,1000,3,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,74,cume_n_infection_daily,1000,1345.1565,240.36566187614895,1286.75,1052.4750000000001,1098.95,1148.375,1490.75,1682.4500000000003,1918.1,778.5,2214,0,0,0,1000,4,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,75,cume_n_infection_daily,1000,1528.7425,273.93450048196615,1462.75,1195.9750000000001,1248.8500000000001,1303.875,1688.5,1917.0500000000002,2203.5249999999996,887.5,2532.5,0,0,0,1000,5,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,76,cume_n_infection_daily,1000,1711.7545,307.5531261508411,1655,1340.9750000000001,1398.9499999999998,1457.375,1887.125,2149.65,2471.1625,1004,2843,0,0,0,1000,6,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,77,cume_n_infection_daily,1000,1894.3675,341.0028557672082,1838.5,1489,1550.8999999999999,1609.875,2089,2369.25,2722.075,1110.5,3156.5,0,0,0,1000,7,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,78,cume_n_infection_daily,1000,2070.2435,374.85228783541584,2014.75,1628.4875000000002,1696.95,1759.5,2287.375,2589.3,2967.8874999999994,1179.5,3461.5,0,0,0,1000,8,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,79,cume_n_infection_daily,1000,2223.765,410.2360904709932,2146.5,1719.4625,1812.4499999999998,1889.875,2461.125,2806.1499999999996,3230.725,1210.5,3770.5,0,0,0,1000,9,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,80,cume_n_infection_daily,1000,2343.3005,447.48257407842584,2253.25,1771.9750000000001,1883.45,1987.875,2611.25,2990.55,3424.3999999999996,1210.5,4033,0,0,0,1000,10,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,81,cume_n_infection_daily,1000,2424.5035,485.9736053355499,2303,1782.325,1910.4,2042.5,2720.125,3121.4,3593.1874999999995,1210.5,4265.5,0,0,0,1000,11,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,82,cume_n_infection_daily,1000,2470.6255,521.6529985062873,2332.75,1782.325,1910.4,2059.625,2802.25,3212.0000000000005,3704.1749999999997,1210.5,4468,0,0,0,1000,12,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,83,cume_n_infection_daily,1000,2491.114,546.5898988469523,2347.75,1782.325,1910.4,2059.625,2842.5,3279.35,3745.4624999999996,1210.5,4625,0,0,0,1000,13,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,1,1x,NA,NA,0,84,cume_n_infection_daily,1000,2497.6655,558.6489107348328,2347.75,1782.325,1910.4,2059.625,2846.75,3311.2,3759.1125,1210.5,4751,0,0,0,1000,14,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,2,2x,NA,NA,0,67,cume_n_infection_daily,3000,183.54066666666668,36.32857830169929,176.5,135,145,155,205.5,236,265.01250000000005,68,332,0,0,0,3000,-3,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,2,2x,NA,NA,0,68,cume_n_infection_daily,3000,366.9175,72.3279663891545,351,271.5,290,309.5,410,471.54999999999995,532.5375000000001,147.5,668.5,0,0,0,3000,-2,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,2,2x,NA,NA,0,69,cume_n_infection_daily,3000,550.2201666666666,107.85393255182919,526.5,411.9875,437,464.375,612.5,708,796.5250000000001,235.5,1007,0,0,0,3000,-1,Cumulative infectious days
no_testing,No testing,5e-4,"50 per 100,000",NA,TRUE,With symptom screening,2,2x,NA,NA,0,70,cume_n_infection_daily,3000,664.4466666666667,129.34404424949955,632,504.9875,530.5,562,740,854,970.0500000000002,306,1204.5,0,0,0,3000,0,Cumulative infectious days
