testing_type,testing_cat,prob_inf,prob_inf_cat,sens_type,sens_cat,prop_subclin,prop_subclin_cat,symptom_adherence,risk_multiplier,risk_multi_cat,rapid_test_multiplier,rapid_test_cat,if_threshold,time_step,metric,n,mean,sd,median,p025,p100,p250,p750,p900,p975,min,max,n_missing,n_infinite,n_nan,n_total,quarantine_adherence,relative_time,metric_cat,symptom_adherence_cat
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,77,cume_n_infection_daily,3000,2163.053,399.3619676075708,2158.1499999999996,1711.8925,1770.46,1832.5,2344.9249999999997,2750.49,3160.755,1244,3806.4,0,0,0,3000,0.8,7,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,78,cume_n_infection_daily,3000,2284.188333333333,414.8435402954514,2280.3,1826.7599999999998,1878.98,1942.0499999999997,2474.3999999999996,2888.64,3319.7125,1328.8,3999.5,0,0,0,3000,0.8,8,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,79,cume_n_infection_daily,3000,2389.178933333333,438.1651083137231,2397.2999999999997,1908.3974999999996,1966.7899999999997,2024.2749999999999,2590.075,3032.92,3477.4050000000007,1385.6999999999998,4209,0,0,0,3000,0.8,9,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,80,cume_n_infection_daily,3000,2467.0529666666666,464.59900432107855,2466.25,1952.5575,2018.08,2080.1749999999997,2684.725,3146.71,3617.985,1405.6999999999998,4408.2,0,0,0,3000,0.8,10,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,81,cume_n_infection_daily,3000,2517.0301,489.75080584714976,2510.5,1964.6974999999998,2038.9599999999998,2109.5249999999996,2751.7749999999996,3239.12,3738.4624999999996,1405.6999999999998,4578.4,0,0,0,3000,0.8,11,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,82,cume_n_infection_daily,3000,2543.9573333333333,510.96099949724595,2520.65,1964.6974999999998,2039.8499999999997,2115.3999999999996,2795.35,3292.81,3816.9075,1405.6999999999998,4722.9,0,0,0,3000,0.8,12,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,83,cume_n_infection_daily,3000,2555.3106666666663,524.8598409389238,2520.65,1964.6974999999998,2039.8499999999997,2115.95,2815.55,3321.39,3879.5299999999997,1405.6999999999998,4842.299999999999,0,0,0,3000,0.8,13,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,84,cume_n_infection_daily,3000,2558.875233333333,531.4894111469509,2520.65,1964.6974999999998,2039.8499999999997,2115.95,2818.45,3335.51,3910.9199999999996,1405.6999999999998,4912.7,0,0,0,3000,0.8,14,Cumulative infectious days,0%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,67,cume_n_infection_daily,3000,553.2838333333334,104.40521141860053,549.25,429.5,449.00000000000006,467,604.5,707,808.6125000000006,316,978.5000000000002,0,0,0,3000,0.8,-3,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,68,cume_n_infection_daily,3000,1106.2366666666667,207.75977120157822,1102.5,864.5,899.5,934.5,1205,1414.5,1621.0875000000005,629,1950.5,0,0,0,3000,0.8,-2,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,69,cume_n_infection_daily,3000,1658.618,310.8050484929788,1655.2500000000005,1302.5,1349.9499999999998,1403,1803.125,2122.1,2433.1125,946.5,2905.5,0,0,0,3000,0.8,-1,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,70,cume_n_infection_daily,3000,1755.5925666666667,330.78719301654775,1754.3500000000004,1377.4950000000001,1427.1,1483.475,1906.025,2247.49,2587.1575000000007,1007.5,3089.9000000000005,0,0,0,3000,0.8,0,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,71,cume_n_infection_daily,3000,1776.1338666666668,335.23243317127327,1774.39,1393.6575,1443.88,1500.22,1927.71,2274.8819999999996,2617.356500000001,1019.3,3128.8000000000006,0,0,0,3000,0.8,1,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,72,cume_n_infection_daily,3000,1799.3514333333335,340.4418158412242,1799.73,1413.0655,1462.798,1519.3200000000002,1951.87,2305.988,2653.0885000000007,1030.22,3172.8400000000006,0,0,0,3000,0.8,2,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,73,cume_n_infection_daily,3000,1827.6001933333334,348.17831161564686,1829.3500000000001,1435.5565000000001,1484.8600000000001,1540.92,1981.8450000000003,2343.4820000000004,2703.1185,1041.94,3241.5800000000004,0,0,0,3000,0.8,3,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,74,cume_n_infection_daily,3000,1870.8784400000002,359.70466262320076,1873.5300000000002,1465.9569999999999,1518.8700000000001,1574.32,2029.9900000000002,2402.006,2771.559,1057.3799999999999,3331.92,0,0,0,3000,0.8,4,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,75,cume_n_infection_daily,3000,1942.5408133333333,371.5142129299248,1945.85,1525.0794999999998,1575.1380000000001,1634.6350000000002,2109.335,2489.6099999999997,2873.6700000000005,1097.8,3443.88,0,0,0,3000,0.8,5,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,76,cume_n_infection_daily,3000,2038.5184533333334,383.9651946741808,2035.88,1605.7994999999996,1659.2759999999998,1720.435,2212.7450000000003,2604.9399999999996,2996.3535,1162.74,3599.36,0,0,0,3000,0.8,6,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,77,cume_n_infection_daily,3000,2152.74554,396.93801102813865,2147.1,1704.5555,1760.336,1824.13,2334.2200000000003,2737.098,3140.2535,1235.52,3774.8600000000006,0,0,0,3000,0.8,7,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,78,cume_n_infection_daily,3000,2273.88398,412.4357440270464,2267.8199999999997,1818.3155000000002,1872.098,1933.0749999999998,2463.8399999999997,2876.7559999999994,3300.3175000000006,1320.1599999999999,3966.8,0,0,0,3000,0.8,8,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,79,cume_n_infection_daily,3000,2378.872913333333,435.7479295035162,2384.29,1900.6175,1958.6839999999997,2015.7300000000002,2580.1499999999996,3017.5839999999994,3456.451000000001,1378.84,4175.06,0,0,0,3000,0.8,9,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,80,cume_n_infection_daily,3000,2456.7452,462.17360053177293,2454.87,1945.1859999999997,2011.2439999999997,2071.6349999999998,2672.025,3134.5519999999997,3600.9180000000006,1398.82,4373.68,0,0,0,3000,0.8,10,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,81,cume_n_infection_daily,3000,2506.71972,487.3200481702326,2498.61,1956.146,2030.196,2101.37,2739.6349999999998,3224.762,3719.4404999999997,1398.82,4543.3,0,0,0,3000,0.8,11,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,82,cume_n_infection_daily,3000,2533.64608,508.5282112146457,2512.94,1956.146,2032.378,2108.7599999999998,2785.625,3277.9359999999997,3797.412,1398.82,4687.22,0,0,0,3000,0.8,12,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,83,cume_n_infection_daily,3000,2544.997533333333,522.4258065980107,2512.94,1956.146,2032.378,2108.84,2803.825,3310.6459999999997,3857.1270000000004,1398.82,4806.04,0,0,0,3000,0.8,13,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,84,cume_n_infection_daily,3000,2548.5631266666664,529.0566983163856,2512.94,1956.146,2032.378,2108.84,2808.53,3319.167999999999,3892.2454999999995,1398.82,4876.18,0,0,0,3000,0.8,14,Cumulative infectious days,20%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,67,cume_n_infection_daily,3000,553.2838333333333,104.40521141860053,549.25,429.5,449,467,604.5,707,808.6125000000004,316,978.5,0,0,0,3000,0.8,-3,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,68,cume_n_infection_daily,3000,1106.2366666666667,207.75977120157825,1102.5,864.5,899.5,934.5,1205,1414.5,1621.0875000000003,629,1950.5,0,0,0,3000,0.8,-2,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,69,cume_n_infection_daily,3000,1658.618,310.8050484929788,1655.25,1302.5,1349.9499999999998,1403,1803.125,2122.1,2433.1125,946.5,2905.5,0,0,0,3000,0.8,-1,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,70,cume_n_infection_daily,3000,1746.5944666666667,328.96525768380144,1745.8,1371.2850000000003,1419.7599999999998,1475.8000000000002,1897.1749999999997,2237.1099999999997,2572.04,1000,3070.8,0,0,0,3000,0.8,0,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,71,cume_n_infection_daily,3000,1766.1085,333.0649668973629,1765.65,1386.9185,1435.6600000000003,1492.1549999999997,1917.4850000000001,2263.48,2603.8775,1011.4,3106.6000000000004,0,0,0,3000,0.8,1,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,72,cume_n_infection_daily,3000,1789.0399666666667,337.9684744349728,1789.44,1405.197,1454.536,1511.08,1941.4,2291.946,2641.868,1023.14,3147.78,0,0,0,3000,0.8,2,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,73,cume_n_infection_daily,3000,1817.24092,345.6395984532056,1819.06,1428.031,1477.076,1532.8950000000002,1971.88,2327.598,2683.692,1035.58,3214.5600000000004,0,0,0,3000,0.8,3,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,74,cume_n_infection_daily,3000,1860.5319466666667,357.21821508177027,1863.42,1458.7195,1510.63,1566.4850000000001,2020.635,2386.8140000000003,2754.3295000000003,1051.46,3303.7400000000002,0,0,0,3000,0.8,4,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,75,cume_n_infection_daily,3000,1932.2102266666666,369.07794883328773,1933.88,1518.5005,1568.446,1626.225,2097.69,2475.3060000000005,2855.821,1090.1,3414.6600000000003,0,0,0,3000,0.8,5,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,76,cume_n_infection_daily,3000,2028.2037066666667,381.5654304913413,2025.59,1597.6715000000002,1651.3980000000001,1713.2999999999997,2202.725,2592.894,2976.573,1154.68,3569.02,0,0,0,3000,0.8,6,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,77,cume_n_infection_daily,3000,2142.43808,394.5644107502058,2133.51,1697.4195000000002,1752.524,1816.625,2325.1549999999997,2722.6079999999993,3121.6629999999996,1227.04,3743.3199999999997,0,0,0,3000,0.8,7,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,78,cume_n_infection_daily,3000,2263.5796266666666,410.07834915327504,2255.7699999999995,1809.4755,1864.136,1925.2399999999998,2453.99,2862.3939999999993,3281.832000000001,1311.52,3934.1,0,0,0,3000,0.8,8,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,79,cume_n_infection_daily,3000,2368.566893333333,433.37974920773166,2373.34,1894.1205,1951.508,2007.235,2570.4,3006.0499999999993,3435.457000000001,1371.9799999999998,4141.12,0,0,0,3000,0.8,9,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,80,cume_n_infection_daily,3000,2446.437433333333,459.7954232626687,2443.63,1938.2745,2003.7199999999998,2062.135,2662.69,3120.133999999999,3583.621,1391.9399999999998,4339.16,0,0,0,3000,0.8,10,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,81,cume_n_infection_daily,3000,2496.4093399999997,484.9348826022787,2486.5699999999997,1950.471,2023.5679999999998,2092.915,2731.7649999999994,3207.8499999999995,3700.9424999999997,1391.9399999999998,4508.2,0,0,0,3000,0.8,11,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,82,cume_n_infection_daily,3000,2523.3348266666667,506.13962970247155,2501.48,1950.471,2024.0939999999998,2099.6850000000004,2774.8849999999998,3262.7459999999996,3775.2135000000003,1391.9399999999998,4651.54,0,0,0,3000,0.8,12,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,83,cume_n_infection_daily,3000,2534.6843999999996,520.0350233134279,2501.48,1950.471,2024.0939999999998,2099.6850000000004,2793.94,3298.3739999999993,3836.8214999999996,1391.9399999999998,4769.78,0,0,0,3000,0.8,13,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,84,cume_n_infection_daily,3000,2538.2510199999997,526.6667710248992,2501.48,1950.471,2024.0939999999998,2099.6850000000004,2798.435,3310.29,3870.9230000000002,1391.9399999999998,4839.66,0,0,0,3000,0.8,14,Cumulative infectious days,40%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.6000000000000001,2,2x,0.9,90%,0,67,cume_n_infection_daily,3000,553.2838333333333,104.40521141860053,549.25,429.5,449,467,604.5,707,808.6125000000004,316,978.5,0,0,0,3000,0.8,-3,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.6000000000000001,2,2x,0.9,90%,0,68,cume_n_infection_daily,3000,1106.2366666666667,207.75977120157825,1102.5,864.5,899.5,934.5,1205,1414.5,1621.0875000000003,629,1950.5,0,0,0,3000,0.8,-2,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.6000000000000001,2,2x,0.9,90%,0,69,cume_n_infection_daily,3000,1658.618,310.8050484929788,1655.25,1302.5,1349.9499999999998,1403,1803.125,2122.1,2433.1125,946.5,2905.5,0,0,0,3000,0.8,-1,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.6000000000000001,2,2x,0.9,90%,0,70,cume_n_infection_daily,3000,1737.5963666666667,327.1648761539995,1737.35,1364.6899999999996,1412.89,1468.4,1887.375,2225.62,2561.1025000000004,992.5,3051.7,0,0,0,3000,0.8,0,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.6000000000000001,2,2x,0.9,90%,0,71,cume_n_infection_daily,3000,1756.0831333333333,330.92704130810847,1755.8600000000001,1379.291,1428.498,1484.0049999999999,1906.6599999999999,2248.6499999999996,2591.4725000000003,1003.5,3084.4,0,0,0,3000,0.8,1,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.6000000000000001,2,2x,0.9,90%,0,72,cume_n_infection_daily,3000,1778.7285,335.53303307102857,1779.7699999999998,1397.8985,1447.298,1502.88,1930.9499999999998,2276.234,2626.7415,1016.06,3122.7200000000003,0,0,0,3000,0.8,2,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.6000000000000001,2,2x,0.9,90%,0,73,cume_n_infection_daily,3000,1806.8816466666667,343.14388500320604,1809.5299999999997,1420.5355,1469.216,1524.7350000000001,1962.01,2312.384,2666.4755,1029.22,3187.54,0,0,0,3000,0.8,3,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.6000000000000001,2,2x,0.9,90%,0,74,cume_n_infection_daily,3000,1850.1854533333333,354.77758270103567,1852.06,1452.143,1502.9540000000002,1558.2450000000001,2009.79,2374.7619999999997,2740.7895,1045.54,3275.56,0,0,0,3000,0.8,4,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.6000000000000001,2,2x,0.9,90%,0,75,cume_n_infection_daily,3000,1921.8796399999999,366.68985141030674,1921.98,1509.9685,1560.8379999999997,1618.9799999999998,2088,2462.508,2836.9805,1082.4,3385.4399999999996,0,0,0,3000,0.8,5,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.6000000000000001,2,2x,0.9,90%,0,76,cume_n_infection_daily,3000,2017.88896,379.2156870494941,2011.23,1590.7034999999998,1642.7979999999998,1706.025,2194.295,2580.192,2957.235,1146.6200000000001,3538.6800000000003,0,0,0,3000,0.8,6,Cumulative infectious days,60%
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test
+ 5-day quarantine",0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.6000000000000001,2,2x,0.9,90%,0,77,cume_n_infection_daily,3000,2132.13062,392.24208094802594,2122.35,1690.9299999999998,1743.996,1809.0199999999998,2314.7250000000004,2709.732,3102.6385,1218.56,3711.7799999999997,0,0,0,3000,0.8,7,Cumulative infectious days,60%
