testing_type,testing_cat,prob_inf,prob_inf_cat,sens_type,sens_cat,prop_subclin,prop_subclin_cat,symptom_adherence,risk_multiplier,risk_multi_cat,rapid_test_multiplier,rapid_test_cat,if_threshold,time_step,metric,n,mean,sd,median,p025,p100,p250,p750,p900,p975,min,max,n_missing,n_infinite,n_nan,n_total,relative_time,metric_cat,symptom_adherence_cat
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,466.6596666666667,94.17118761816,438,359.975,377,393,526,605,695.0250000000001,234,847,0,0,0,3000,14,Number active infections on day of flight,80%
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,1,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,421.137,90.08111770466832,385,322.975,339,355,483,548,651.0500000000002,196,766,0,0,0,3000,14,Number active infections on day of flight,100%
pcr_three_days_before,PCR 3 days before,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,98.074,37.8803488756855,85,60,67,74,112,136,218.0250000000001,32,255,0,0,0,3000,14,Number active infections on day of flight,0%
pcr_three_days_before,PCR 3 days before,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,93.619,37.53543404042196,80,56,63,70,108,131,214,29,246,0,0,0,3000,14,Number active infections on day of flight,20%
pcr_three_days_before,PCR 3 days before,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,89.17033333333333,37.251020559618674,75,53,59,66,104,126,210,27,241,0,0,0,3000,14,Number active infections on day of flight,40%
pcr_three_days_before,PCR 3 days before,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.6000000000000001,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,84.71633333333334,37.03298998647019,70,50,56,62,100,121,206,24,236,0,0,0,3000,14,Number active infections on day of flight,60%
pcr_three_days_before,PCR 3 days before,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,80.26766666666667,36.86738064749775,66,46,52,58,96,115,201,22,232,0,0,0,3000,14,Number active infections on day of flight,80%
pcr_three_days_before,PCR 3 days before,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,1,2,2x,NA,NA,0,84,n_active_infected_day_of_flight,3000,75.81266666666667,36.761103072703484,61,42,48,54,92,110,196.0250000000001,18,228,0,0,0,3000,14,Number active infections on day of flight,100%
rapid_test_same_day,Same-day Rapid Test,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0,2,2x,0.9,90%,0,84,n_active_infected_day_of_flight,3000,124.648,27.737505638990402,120,86,95,103,139,163,193,62,256,0,0,0,3000,14,Number active infections on day of flight,0%
rapid_test_same_day,Same-day Rapid Test,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.2,2,2x,0.9,90%,0,84,n_active_infected_day_of_flight,3000,115.66466666666666,25.56255137696266,111,81,89,96,129,152,180,57,236,0,0,0,3000,14,Number active infections on day of flight,20%
rapid_test_same_day,Same-day Rapid Test,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.4,2,2x,0.9,90%,0,84,n_active_infected_day_of_flight,3000,106.65966666666667,23.689538576515407,102,75,82,89,119,141,166,51,215,0,0,0,3000,14,Number active infections on day of flight,40%
rapid_test_same_day,Same-day Rapid Test,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.6000000000000001,2,2x,0.9,90%,0,84,n_active_infected_day_of_flight,3000,97.684,22.198792898159542,92,68.97500000000001,75,81,109,129.0999999999999,155,43,195,0,0,0,3000,14,Number active infections on day of flight,60%
rapid_test_same_day,Same-day Rapid Test,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,0.9,90%,0,84,n_active_infected_day_of_flight,3000,88.679,21.16066831713677,83,61,67,73,100,118,144.0250000000001,36,174,0,0,0,3000,14,Number active infections on day of flight,80%
rapid_test_same_day,Same-day Rapid Test,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,1,2,2x,0.9,90%,0,84,n_active_infected_day_of_flight,3000,79.69566666666667,20.65763685764669,75,52,59,65,90,108,134,28,163,0,0,0,3000,14,Number active infections on day of flight,100%
